role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Other IDs,First Posted,Locations,URL
Principal Investigator,"Douglas Corley, MD, PhD","Division of Research, Kaiser Permanente Northern California",,NCT04145388,douglas corley,douglas,male,0.99,9529,793,Family History Study on Cancer Risk,Not yet recruiting,No Results Available,Lynch Syndrome|Colorectal Cancer|Breast Cancer|Ovarian Cancer|Family Characteristics|Genetic Predisposition,Other: online cancer risk assessment|Other: Usual care,Kaiser Permanente|Patient-Centered Outcomes Research Institute,1407426,"October 30, 2019","Division of Research, Kaiser Permanente Northern California, Oakland, California, United States",https://ClinicalTrials.gov/show/NCT04145388
Study Director,"Wayne Chu, MD",Fate Therapeutics,,NCT03841110,wayne chu,wayne,male,0.98,12470,794,FT500 as Monotherapy and in Combination With Immune Checkpoint Inhibitors in Subjects With Advanced Solid Tumors,Recruiting,No Results Available,Advanced Solid Tumors|Lymphoma|Gastric Cancer|Colorectal Cancer|Head and Neck Cancer|Squamous Cell Carcinoma|EGFR Positive Solid Tumor|HER2-positive Breast Cancer|Hepatocellular Carcinoma|Small Cell Lung Cancer|Renal Cell Carcinoma|Pancreas Cancer|Melanoma|NSCLC|Urothelial Carcinoma|Cervical Cancer|Microsatellite Instability|Merkel Cell Carcinoma,Drug: FT500|Drug: Nivolumab|Drug: Pembrolizumab|Drug: Atezolizumab|Drug: Cyclophosphamide|Drug: Fludarabine,Fate Therapeutics,FT500-101,"February 15, 2019","UCSD Moores Cancer Center, San Diego, California, United States|University of Minnesota Masonic Cancer Center, Minneapolis, Minnesota, United States|MD Anderson Cancer Center, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT03841110
Study Director,"Wayne Chu, MD",Fate Therapeutics,,NCT04106167,wayne chu,wayne,male,0.98,12470,815,"Long-term, Non-interventional, Observational Study Following Treatment With Fate Therapeutics FT500 Cellular Immunotherapy",Recruiting,No Results Available,Advanced Solid Tumor|Lymphoma|Gastric Cancer|Colorectal Cancer|Head and Neck Cancer|Squamous Cell Carcinoma|EGFR Positive Solid Tumor|HER2-positive Breast Cancer|Hepatocellular Carcinoma|Small-cell Lung Cancer|Renal Cell Carcinoma|Pancreas Cancer|Melanoma|NSCLC|Urothelial Carcinoma|Cervical Cancer|Microsatellite Instability|Merkel Cell Carcinoma,Genetic: Allogeneic natural killer (NK) cell,Fate Therapeutics,FT-003,"September 26, 2019","UCSD Moores Cancer Center, San Diego, California, United States|University of Minnesota Masonic Cancer Center, Minneapolis, Minnesota, United States|MD Anderson Cancer Center, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04106167
Principal Investigator,"Jeremie Calais, MD",UCLA / Jonsson Comprehensive Cancer Center,,NCT04147494,jeremie calais,jeremie,male,0.98,5231,795,Experimental PET Imaging Scans Before Cancer Surgery to Study the Amount of PET Tracer Accumulated in Normal and Cancer Tissues,Recruiting,No Results Available,Breast Carcinoma|Colon Carcinoma|Esophageal Carcinoma|Gastric Carcinoma|Head and Neck Carcinoma|Kidney Carcinoma|Lung Carcinoma|Ovarian Carcinoma|Pancreatic Carcinoma|Solid Neoplasm|Uterine Corpus Cancer,Procedure: Computed Tomography|Radiation: Gallium Ga 68 FAPi-46|Radiation: Gallium Ga 68-labeled PSMA-11|Procedure: Positron Emission Tomography,Jonsson Comprehensive Cancer Center|National Cancer Institute (NCI),19-000756|NCI-2019-07265|P30CA016042,"November 1, 2019","UCLA / Jonsson Comprehensive Cancer Center, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT04147494
Study Director,"Ilana Lorber, MD",NeoTX Therapeutics Ltd.,,NCT03983954,ilana lorber,ilana,female,0.99,621,799,Naptumomab Estafenatox in Combination With Durvalumab in Subjects With Selected Advanced or Metastatic Solid Tumors,Recruiting,No Results Available,Breast Cancer|Epithelial Ovarian Cancer|Cervical Cancer|Pancreatic Cancer|Endometrial Cancer|Renal Cancer|Urothelial Cancer|Head and Neck Cancer|Mesothelioma|Melanoma|Hepatic Carcinoma|Prostate Cancer|NSCLC,Combination Product: Naptumomab estafenatox (ABR-217620; Nap) with durvalumab (IMFINZI; MEDI4736),NeoTX Therapeutics Ltd.|AstraZeneca Pharmaceuticals PLC,127-CL-01,"June 12, 2019","Rambam Medical Center, Haifa, Israel|Sheba Medical Center, Ramat Gan, Israel|Tel Aviv Sourasky Medical Center, Tel Aviv, Israel",https://ClinicalTrials.gov/show/NCT03983954
Principal Investigator,"Francisco V Munoz, Ph.D.",Arizona State University,,NCT04213872,francisco v munoz,francisco,male,0.99,98797,800,"Gene Expression, Meditative Movement, and Emotional Distress (GME)","Active, not recruiting",No Results Available,Cognitive Impairment,Behavioral: Meditative Movement,Arizona State University|Pomona Valley Hospital Medical Center|Children's Hospital Los Angeles,GME Study,"December 30, 2019","Robert and Beverly Lewis Family Cancer Care Center, Pomona, California, United States",https://ClinicalTrials.gov/show/NCT04213872
Principal Investigator,"Lynn Dengel, MD, MSc",University of Virginia,,NCT04116320,lynn dengel,lynn,female,0.93,7857,802,Focused Ultrasound Ablation and PD-1 Antibody Blockade in Advanced Solid Tumors,Recruiting,No Results Available,Melanoma|Breast Cancer|Merkel Cell Carcinoma|Squamous Cell Cancer|Non Small Cell Lung Cancer|Cervical Cancer|Urothelial Carcinoma|Ovarian Cancer|Hepatocellular Carcinoma|Small-cell Lung Cancer|Microsatellite Instability High|Gastric Cancer|Esophageal Cancer,Device: Echopulse|Drug: Imiquimod|Drug: Standard of Care PD-1 Therapy,"Craig L Slingluff, Jr|Theraclion|University of Virginia",21850,"October 4, 2019","University of Virginia, Charlottesville, Virginia, United States",https://ClinicalTrials.gov/show/NCT04116320
Study Director,"JongSeok Kim, MD",Eli Lilly and Company,,NCT03906331,jongseok kim,jongseok,male,1.0,58,805,Expanded Access for the Treatment of Cancers With Rearranged During Transfection (RET) Activation,Available,No Results Available,Non Small Cell Lung Cancer|Medullary Thyroid Cancer|Colon Cancer|Breast Cancer|Pancreatic Cancer|Papillary Thyroid Cancer|Other Solid Tumors With Evidence of Activating RET Alteration,Drug: Selpercatinib,"Loxo Oncology, Inc.|Eli Lilly and Company",Selpercatinib EAP,"April 8, 2019","Cancer Treatment Centers of America, Goodyear, Arizona, United States|Mayo Clinic Hospital, Scottsdale, Arizona, United States|City of Hope, Duarte, California, United States|UC San Diego Moores Cancer Center, La Jolla, California, United States|UCI Health - Chao Family Comprehensive Cancer Center, Orange, California, United States|UCSF Helen Diller Family Comprehensive Cancer Center, San Francisco, California, United States|Lundquist Institute for Biomedical Innovation at Harbor UCLA Medical Center, Torrance, California, United States|Kaiser Permanente Medical Center, Vallejo, California, United States|Memorial Regional Hospital, Hollywood, Florida, United States|Mayo Clinic Hospital, Jacksonville, Florida, United States|AdventHealth Orlando, Orlando, Florida, United States|Tallahassee Memorial Hospital, Tallahassee, Florida, United States|University Cancer and Blood Center, Athens, Georgia, United States|Emory University, Atlanta, Georgia, United States|Cancer Treatment Centers of America, Chicago, Chicago, Illinois, United States|University of Chicago Medical Center, Chicago, Illinois, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|University of Michigan, Ann Arbor, Michigan, United States|START Midwest, Grand Rapids, Michigan, United States|Mayo Clinic Hospital, Rochester, Minnesota, United States|Comprehensive Cancer Centers of Nevada, Las Vegas, Nevada, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Cleveland Clinic, Cleveland, Ohio, United States|JamesCare at Martha Morehouse Medical Plaza, Columbus, Ohio, United States|Cancer Treatment Centers of America, Tulsa, Oklahoma, United States|University of Pennsylvania, Perelman School of Medicine, Philadelphia, Pennsylvania, United States|Cancer Treatment Centers of American, Philadelphia, Philadelphia, Pennsylvania, United States|M.D. Anderson Cancer Center, Houston, Texas, United States|Oncology Consultants, Houston, Texas, United States|Virginia Cancer Specialists, Fairfax, Virginia, United States|Chris O'Brien Lifehouse, Camperdown, New South Wales, Australia|Royal North Shore Hospital, St Leonards, New South Wales, Australia|The Prince Charles Hospital, Chermside, Queensland, Australia|Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia|Linear Clinical Research, Nedlands, Western Australia, Australia|Universitatsklinikum Würzburg, Würzburg, Germany|Prince of Wales Hospital, Shatin, Hong Kong|Soroka University Medical Center, Be'er Sheva, Israel|Sheba Medical Center, Ramat Gan, Israel|University of Pisa, Pisa, Italy|Osaka City General Hospital, Miyakojima-Ku, Osaka, Japan|National Cancer Centre, Singapore, Singapore|Hospital Universitari de la Vall d'Hebron, Barcelona, Spain|START Madrid, Hospital Universitario HM Sanchinarro, Madrid, Spain|Luzerner Kantonsspital, Spitalstrasse, Switzerland",https://ClinicalTrials.gov/show/NCT03906331
Study Director,"Markus Renschler, MD",Cyteir Therapeutics,,NCT03997968,markus renschler,markus,male,1.0,47703,807,"A Phase 1/2 Study of CYT-0851, an Oral RAD51 Inhibitor, in B-Cell Malignancies and Advanced Solid Tumors",Recruiting,No Results Available,Malignancy|Non-hodgkin Lymphoma|Multiple Myeloma|Breast Cancer|Ovarian Cancer|Soft Tissue Sarcoma|Squamous Cell Carcinoma|Head and Neck Cancer|DLBCL|Mantle Cell Lymphoma|Follicular Lymphoma|Leiomyosarcoma|Pancreatic Cancer|Sarcoma|CLL,Drug: CYT-0851,"Cyteir Therapeutics, Inc.",CYT-0851-01,"June 25, 2019","Sarah Cannon Research Institute at HealthONE, Denver, Colorado, United States|Florida Cancer Specialists and Research Institute, Sarasota, Florida, United States|John Theurer Cancer Center at HUMC, Hackensack, New Jersey, United States|Thomas Jefferson University, Sidney Kimmel Cancer Center, Philadelphia, Pennsylvania, United States|Sarah Cannon Research Institute at Tennessee Oncology, Nashville, Tennessee, United States|The University of Texas MD Anderson Cancer Center, Houston, Texas, United States|University of Washington Seattle Cancer Center, Seattle, Washington, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT03997968
Principal Investigator,"Yuankai Shi, MD","Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT04121286,yuankai shi,yuankai,male,1.0,3,809,A Study of JAB-3312 in Adult Patients With Advanced Solid Tumors in China,Not yet recruiting,No Results Available,Non-small Cell Lung Cancer|Colorectal Cancer|Pancreatic Ductal Carcinoma|Esophageal Squamous Cell Carcinoma|Head and Neck Squamous Cell Carcinoma|Breast Cancer|Other Solid Tumors,Drug: JAB-3312,"Jacobio Pharmaceuticals Co., Ltd.",JAB-3312-1002,"October 9, 2019","Cancer Hospital, Chinese Academy of Medical Sciences, Beijing, Beijing, China|Beijing Cancer Hospital, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT04121286
Study Chair,"Fredrik Vannberg, DPhil",SpeciCare,,NCT03896958,fredrik vannberg,fredrik,male,0.99,9106,813,The PIONEER Initiative: Precision Insights On N-of-1 Ex Vivo Effectiveness Research Based on Individual Tumor Ownership (Precision Oncology),Recruiting,No Results Available,"Cancer, All Types|Cancer of Liver|Cancer of Stomach|Cancer of Head and Neck|Cancer of Rectum|Cancer of Kidney|Cancer of Esophagus|Cancer of Colon|Cancer Skin|Cancer of Cervix|Cancer, Metastatic|Cancer of Larynx|Cancer of Neck|Cancer of Lung|Cancer of Brain and Nervous System|Cancer of Vulva, Disseminated|Cancer of Pancreas|Sarcoma|GIST|Small-cell Lung Cancer|Adenocarcinoma Lung|Cancer of Prostate|Cancer, Advanced|Adrenal Cancer|Testicular Cancer|Uterine Cancer|Bronchoalveolar Cell Lung Cancer|Cancer Unknown Primary|Glioblastoma Multiforme|Oligodendroglioma|Breast Cancer|Renal Cell Carcinoma|Hepatocellular Carcinoma|Cholangiocarcinoma|Squamous Cell Carcinoma|Transitional Cell Carcinoma|Cancer, Other|Cancer, Anal|Melanoma|Cancer, Bile Duct|Cancer, Bladder|Cancer Cords Vocal|Cancers Cell Neuroendocrine|Cancer Differentiated Poorly|Cancer, Anaplastic Thyroid",,SpeciCare|Dana-Farber Cancer Institute|Kalispell Regional Medical Center|Georgia Institute of Technology|Ontario Institute for Cancer Research|SEngine Precision Medicine|Helomics,MYCT001,"April 1, 2019","Specicare, Gainesville, Georgia, United States",https://ClinicalTrials.gov/show/NCT03896958
Principal Investigator,"Mohamed Hassan, MD",Ass Prof- Anesthesia Dept- National Cancer Institute - Cairo University,,NCT04111848,mohamed hassan,mohamed,male,0.98,175927,817,Magnesium and Ketamine in Postoperative Analgesia,Recruiting,No Results Available,Postoperative Analgesia,Drug: Ketamine|Drug: ketamine and magnesium,"National Cancer Institute, Egypt",AP1904-50102,"October 1, 2019","National Cancer Institute, Cairo, Egypt",https://ClinicalTrials.gov/show/NCT04111848
Principal Investigator,"Bhavana Pothuri, MD",New York Langone Medical Center,,NCT04009148,bhavana pothuri,bhavana,female,0.96,83,819,Cascade Testing in Families With Newly Diagnosed Hereditary Breast and Ovarian Cancer Syndrome,Recruiting,No Results Available,BRCA-Mutated Ovarian Carcinoma|BRIP1 Gene Mutation|MSH2 A636P|MLH1 Gene Mutation|MSH6 Gene Mutation|PMS2 Gene Mutation|EPCAM|RAD51C Gene Mutation,Other: CASCADE genetic screening,NYU Langone Health,17-01135,"July 5, 2019","NYU Langone Health, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04009148
Principal Investigator,"Adetunji T Toriola, M.D., Ph.D.",Washington University School of Medicine,,NCT04067726,adetunji t toriola,adetunji,male,0.93,511,825,RANKL Inhibition and Mammographic Breast Density,Recruiting,No Results Available,Dense Breasts,Drug: Denosumab|Drug: Placebo|Drug: Calcium|Drug: Vitamin D3|Procedure: Core needle biopsy|Procedure: Blood draw,Washington University School of Medicine|National Institutes of Health (NIH),201907039,"August 26, 2019","Washington University School of Medicine, Saint Louis, Missouri, United States",https://ClinicalTrials.gov/show/NCT04067726
Principal Investigator,"Rodrigo Alcántara, MD",RAlcantara@parcdesalutmar.cat,,NCT03928886,rodrigo alcántara,rodrigo,male,0.99,22355,826,Discomfort Assessment of Senographe Pristina Patient-assisted Versus Standard Compression Mode and Quality Assessment of Screening Mammograms,Recruiting,No Results Available,Mammography Related Discomfort,Device: bilateral two-view (CC and MLO) FFDM (full field digital mammography) using patient-assisted compression mode|Device: bilateral two-view (CC and MLO) FFDM (full field digital mammography) using standard compression mode,Parc de Salut Mar|GE Healthcare,2017-7631,"April 26, 2019","Hospital del Mar - Parc de Salut Mar, Barcelona, Catalonia, Spain",https://ClinicalTrials.gov/show/NCT03928886
Principal Investigator,"PierFranco Conte, MD",Istituto Oncologico Veneto IRCCS,,NCT04182516,pierfranco conte,pierfranco,male,0.99,160,828,Study of NMS-03305293 in Pts With Selected Advanced/Metastatic Solid Tumors,Recruiting,No Results Available,Advanced/Metastatic Solid Tumors,Drug: NMS-03305293,Nerviano Medical Sciences,PARPA-293-001|2018-003918-40,"December 2, 2019","MD Anderson Cancer Center, Houston, Texas, United States|Fondazione IRCCS Istituto Nazionale dei Tumori di Milano, Milano, Italy|Istituto Oncologico Veneto IRCCS, Padova, Italy|Centro Ricerche Cliniche di Verona Srl, Verona, Italy",https://ClinicalTrials.gov/show/NCT04182516
Principal Investigator,"Kim Reiss-Binder, MD",University of Pennsylvania,,NCT04171700,kim reiss-binder,kim,female,0.56,51609,830,A Study to Evaluate Rucaparib in Patients With Solid Tumors and With Deleterious Mutations in HRR Genes,Recruiting,No Results Available,Solid Tumor,Drug: Rucaparib,"Clovis Oncology, Inc.",CO-338-100,"November 21, 2019","Innovative Clinical Research Institute, Glendale, California, United States|UCLA Medicine Hematology and Oncology, Los Angeles, California, United States|Florida Cancer Specialists, Fort Myers, Florida, United States|Florida Cancer Specialists, Saint Petersburg, Florida, United States|University of Iowa Hospital and Clinics, Iowa City, Iowa, United States|Dana Farber Cancer Institute, Boston, Massachusetts, United States|New York Cancer And Blood Specialists, Bronx, New York, United States|Columbia University Irving Medical Center, New York, New York, United States|New York Cancer and Blood Specialists, Port Jefferson Station, New York, United States|Mayo Clinic, Rochester, New York, United States|Ohio State University, Columbus, Ohio, United States|Stephenson Cancer Center - The University of Oklahoma, Oklahoma City, Oklahoma, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|UPMC Hillman Cancer Center, Pittsburgh, Pennsylvania, United States|SCRI/Tennessee Oncology - Chattanooga, Chattanooga, Tennessee, United States|Tennessee Oncology, Nashville, Tennessee, United States|The University of Texas Health Center at Tyler, Tyler, Texas, United States|Seattle Cancer Care Alliance/University of Washington, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT04171700
